,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,0.0,46.046978081,52.912977080000005,56.3059868905,22.875373632,42.889394973,8.881141014499999,32.595948486000005,15.41205942,28.178938702999996,32.719048766,88.141708136
1984,37.62030589,24.191137920000003,13.768334750000001,74.45138290599999,24.141788498000004,7.7591270955,42.247972762,26.245074735,16.358853619999998,31.657547887000003,18.541528609,49.0380408113
1985,21.152880300000003,172.53032427,49.81757229999999,171.67399054999998,46.405947301,24.013817369999998,13.946965169000002,5.151641326999999,29.071774829000002,11.817364491,72.58090929,32.121250965
1986,40.066476405,15.731926068999998,49.71613632,162.39698062,101.418473625,13.258325221999998,10.890492574000001,7.910815024,16.112517808,77.98666608999999,24.316594451,120.56508755000002
1987,55.78811347299999,52.033994636,104.58582996999999,109.26636142,70.06538418929999,33.432873713,18.591659519,15.8492646237,33.938002221999994,43.02624241299999,98.61247376700001,24.448965855999997
1988,82.50240774000001,22.310204388,104.73192689900002,189.13652557,49.0516809997,21.342761854000003,11.897341299000002,36.0569959535,27.165381303,36.34774029519999,18.503924888,0.0
1989,126.30347668000003,74.225828902,103.329581082,94.37537909,68.21143083800001,11.754202114,21.100132977,54.215970170999995,32.853102813,35.47849206,48.022443548000005,153.83143200799998
1990,22.693546010000002,62.108066900000004,129.231671645,132.614771875,56.653375696,7.130859593,9.646401788,21.041024122000003,14.316238955,29.163928431,18.624818385999998,21.910617485
1991,49.043731636,18.230407293999995,95.12429297100002,63.0041979334,69.37950003,38.771491260000005,6.058733605,16.624936398,19.696405974,48.890188486999996,35.162199619999996,52.45409422699999
1992,9.830226735,71.880299218,41.77779193600001,140.724397505,47.909947884000005,30.878944373999996,20.066351706,18.004652438999997,29.545751828,52.98335651600001,42.831513990000005,73.19044172
1993,205.13708598,119.28189926499999,31.685345133999995,41.704614899999996,55.305810435000005,36.461345677,13.777653366999997,20.313777478000002,5.785036581000001,22.1514341498,18.960166641999997,27.15622828
1994,43.24011303,83.38385247000001,118.88796787999999,88.07074496,48.835597729,29.659168204,15.896798037,14.888661821,21.669502909000002,29.378937500000003,114.19340767,28.518461186
1995,46.206478755000006,71.54827363200002,108.095131866,83.90251801999999,75.928684638,33.87706259800001,8.10080607,14.9219540085,38.473380593499996,46.66025579,58.750982439999994,21.261343040999996
1996,62.37284622700001,80.8105824,130.059111768,55.365490220000005,48.424143449,28.258147195,41.425034439,45.67133431,53.51809028,23.372376053000004,37.597380879,29.799721375999997
1997,30.2437559147,2.55198184,51.49554551400001,204.9310408,74.07601950499999,25.922163746699997,12.925959976000001,25.257183335,12.090211622,19.444162852,162.92009038400002,127.65811742
1998,164.40420398429998,131.381355214,29.343838664,110.71997990599999,132.48010605,56.55706142900001,16.36044722,9.393190713000001,25.368979819,36.4504596495,21.085280836,9.131296859999999
1999,35.44827627,7.8825026199999995,197.133112,67.26023034999999,10.761979528000001,6.095179344,1.486507038,30.557486213999997,9.237299719,17.277986212,102.29849535899999,43.487018067
2000,5.61398457,9.07069904,50.910506503,58.911038397,26.90496182,4.407034194,6.1535729099999985,7.880224925,9.215341587000001,60.767457437999994,147.36143446,73.35625315
2001,223.41603958000005,45.342649810000005,75.627660088,90.66385028750001,55.398060955,29.069515936,24.052233347,17.211848998,57.638697966,58.667030627,70.31934245,26.421786032
2002,119.11623372999999,42.471804000000006,93.41596364399999,66.107587127,115.0384359918,9.9463837086,12.701521433,15.675411662,9.568811678000001,35.338111936400004,90.297916806,96.57175102900001
2003,33.933843316,61.90848442299999,72.7401429474,132.28242515,149.74886760300004,40.935101249999995,7.307513061,34.670725368,23.932401904500004,39.108435796,45.237451715999995,18.126854692
2004,73.71297578640001,80.01672348230001,74.734321657,126.09936090700002,81.811535249,7.086005981,7.453605206000001,16.7122712633,55.745369872,7.673633846,51.315132148,68.05908390999998
2005,48.1710489893,38.4007315,90.31159635800002,71.937102643,99.54757604400001,9.250235673999999,11.906467599,30.720310810999997,27.805413818999995,31.156171034000003,25.124142468,24.058043186000003
2006,23.189049097999998,54.914450613999996,111.88580050499999,118.51714256499999,80.60162594,1.806679281,8.531536677,13.958937894000002,2.1842251630000002,7.183457845500001,170.10759704600002,183.04687561199998
2007,62.005987595,90.13029333,37.150548497,90.753751257,29.4771673764,21.624998247399997,24.240406679999996,10.192582232300001,24.514025113,12.6371899245,31.776012504,59.372592178000005
2008,35.856090163999994,75.787233425,153.05674174,44.863132293999996,13.386576225,8.311806283,5.3851961715,17.901376411,13.860914499000003,66.748889882,108.409424119,13.137484764
2009,20.388219389,20.476758522,38.5959062075,74.54888940899998,106.08484879500001,8.794598513,5.365336492,23.39763912,16.667264644,16.162467979699997,26.904770704000004,148.09013153699996
2010,98.808951364,131.14540644,114.10731077400001,79.77457177,72.31135565999999,20.524606075,4.192248467,12.580247306499999,25.365479661,53.698498762999996,44.110667087,47.14214944400001
2011,37.101968375,70.51936179,102.87284091999999,32.140904118,58.452100882500005,29.636776388,20.027772608,39.060246328000005,41.92801087,71.77090436,126.46251733599999,37.37408975
2012,4.7226154010000005,29.686948285,43.07319234,215.04004372599996,46.23858103300001,25.071561575,10.0300980615,13.774405645,26.2626094187,73.394188991,76.742678506,99.46612740900001
2013,49.2668302,14.764940696000002,113.78196924199999,179.42137735,10.251061288999999,9.353248612,8.79075022,20.472634099999997,44.58741039249999,16.677405269999998,46.060190935,136.064851384
